"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_COMBANK_A.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Commercial banks, Assets","Domestic currency","Annual","Millions","1292680.79331281","1470531.62489421","1669845.64628729","2061075.86448271","2167441","2529161","2914359","5747075"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_COMBANK_SMES_A.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Commercial banks, Small and medium enterprises (SMEs), Assets","Domestic currency","Annual","Millions","178464.32372984","288793.445096148","362055.996616081","415002.561571483","366268","424658","621060","685917"
"IMF.STA:FAS(4.0.0)","RWA.OUTD_DTMFI_L.XDC.A","OBS_VALUE","Rwanda","Outstanding deposits, Deposit taking microfinance institutions, Liabilities","Domestic currency","Annual","Millions","38044.2324344536","48070.0196267586","56697.77787518","63599.1226969836","72946","91791.24722344","111221","215856"
"IMF.STA:FAS(4.0.0)","RWA.FA5N.PTKM2_NUM.A","OBS_VALUE","Rwanda","Number of active mobile money agent outlets","Per 1,000 square km","Annual","Units","2452.128090798541","3141.953790028375","3528.344142683421","4592.095662748277","4725.374949331171","5949.209566274828","5711.349817592217","6873.530603972436"
"IMF.STA:FAS(4.0.0)","RWA.FA21_CUCC.NUM.A","OBS_VALUE","Rwanda","Borrowers, Credit unions and credit cooperatives","Number","Annual","Units","205061","234726","428069","525622","322248","286236","419713","257861"
"IMF.STA:FAS(4.0.0)","RWA.FA5.NUM.A","OBS_VALUE","Rwanda","Active mobile money agent outlets","Number","Annual","Units","60494","77512","87044.25","113287","116575","146767","140899","169570"
"IMF.STA:FAS(4.0.0)","RWA.S128.NUM.A","OBS_VALUE","Rwanda","Insurance corporations","Number","Annual","Units","16","16","14","14","15","17","18","18"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_CUCC_A.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Credit unions and credit cooperatives, Assets","Domestic currency","Annual","Millions","94834.34621783","112978.01250199","121173.34188376","134077.57160911","155650","219367.99727066","295270","349386"
"IMF.STA:FAS(4.0.0)","RWA.ITSNL_S1282_L.XDC.A","OBS_VALUE","Rwanda","Technical Reserves Non-life insurance, Non-life insurance corporations, Liabilities","Domestic currency","Annual","Millions","46997.7081420148","56899","59758","71221","85548","90241","114634","133826"
"IMF.STA:FAS(4.0.0)","RWA.FA22_CUCC.NUM.A","OBS_VALUE","Rwanda","Branches excluding headquarters, Credit unions and credit cooperatives","Number","Annual","Units","578","572","564","560","562","561","574","621"
